,tconst,movie_title,start_year,runtime_minutes,genres,directors,writers,release_date,production_budget,domestic_gross,worldwide_gross,year,success
74,tt0993846,The Wolf of Wall Street,2013.0,180.0,"Biography,Crime,Drama",nm0000217,"nm1010540,nm0067789",2013-12-25,100000000.0,116900694.0,389870414.0,2013,yes
75,tt2870612,"As Above, So Below",2014.0,93.0,"Adventure,Horror,Mystery",nm0235719,"nm0235719,nm1803105",2014-08-29,5000000.0,21222315.0,41824066.0,2014,yes
76,tt1001526,Megamind,2010.0,95.0,"Action,Animation,Comedy",nm0569891,"nm0774786,nm2523794",2010-11-05,130000000.0,148415853.0,321887208.0,2010,yes
77,tt3062096,Inferno,2016.0,121.0,"Action,Adventure,Crime",nm0000165,"nm1467010,nm0462895",2016-10-28,75000000.0,34343574.0,219519367.0,2016,yes
78,tt1013743,Knight and Day,2010.0,109.0,"Action,Adventure,Comedy",nm0003506,nm0642277,2010-06-23,117000000.0,76423035.0,258751370.0,2010,yes
79,tt1024648,Argo,2012.0,120.0,"Biography,Drama,Thriller",nm0000255,"nm0006516,nm5410196,nm2646452",2012-10-12,44500000.0,136025503.0,227140757.0,2012,yes
80,tt1029360,Poltergeist,2015.0,93.0,"Horror,Thriller",nm1481493,"nm1865755,nm0000229,nm0334457,nm0896131",2015-05-22,35000000.0,47425125.0,95713069.0,2015,yes
81,tt1033575,The Descendants,2011.0,115.0,"Comedy,Drama",nm0668247,"nm0668247,nm0269542,nm0711110,nm2655611",2011-11-16,20000000.0,82624961.0,175507800.0,2011,yes
82,tt1605783,Midnight in Paris,2011.0,94.0,"Comedy,Fantasy,Romance",nm0000095,nm0000095,2011-05-20,30000000.0,56816662.0,162502774.0,2011,yes
83,tt1038686,Legion,2010.0,100.0,"Action,Fantasy,Horror",nm0829820,"nm0076412,nm0829820",2010-01-22,26000000.0,40168080.0,67647574.0,2010,yes
84,tt1809398,Unbroken,2014.0,137.0,"Biography,Drama,Sport",nm0001401,"nm0001054,nm0001053,nm0481418,nm0629933,nm1227780",2014-12-25,65000000.0,115637895.0,163527824.0,2014,yes
85,tt2106361,Into the Storm,2014.0,89.0,"Action,Adventure,Drama",nm0702797,nm4291727,2014-08-08,50000000.0,47602194.0,150429371.0,2014,yes
86,tt1045658,Silver Linings Playbook,2012.0,122.0,"Comedy,Drama,Romance",nm0751102,"nm0751102,nm2683048",2012-11-16,21000000.0,132092958.0,236412453.0,2012,yes
87,tt1599348,Safe House,2012.0,115.0,"Action,Adventure,Crime",nm1174251,nm1638756,2012-02-10,85000000.0,126181630.0,208542162.0,2012,yes
88,tt1047540,Parental Guidance,2012.0,105.0,"Comedy,Family",nm0275698,"nm0011639,nm0843467",2012-12-25,25000000.0,77267296.0,120832383.0,2012,yes
89,tt1051904,Goosebumps,2015.0,103.0,"Adventure,Comedy,Family",nm1224299,"nm0501359,nm0018735,nm0438989,nm0830419",2015-10-16,58000000.0,80069458.0,158905324.0,2015,yes
90,tt1055292,Life as We Know It,2010.0,114.0,"Comedy,Drama,Romance",nm0075528,"nm0215130,nm2696149",2010-10-08,38000000.0,53374681.0,105887837.0,2010,yes
91,tt1065073,Boyhood,2014.0,165.0,Drama,nm0000500,nm0000500,2014-07-11,4000000.0,25379975.0,57273049.0,2014,yes
92,tt1067583,Water for Elephants,2011.0,120.0,"Drama,Romance",nm1349376,"nm0481418,nm2717485",2011-04-22,38000000.0,58709717.0,116809717.0,2011,yes
93,tt1068242,Footloose,2011.0,113.0,"Comedy,Drama,Music",nm0108132,"nm0685673,nm0108132",2011-10-14,24000000.0,51802742.0,62989834.0,2011,yes
94,tt1072748,Winchester,2018.0,99.0,"Biography,Drama,Fantasy","nm1294962,nm1294961","nm1129343,nm1294961,nm1294962",2018-02-02,3500000.0,25091816.0,44378040.0,2018,yes
95,tt1074638,Skyfall,2012.0,143.0,"Action,Adventure,Thriller",nm0005222,"nm0701031,nm0905498,nm0517589,nm0001220",2012-11-08,200000000.0,304360277.0,1110526981.0,2012,yes
96,tt1086772,Blended,2014.0,117.0,"Comedy,Romance",nm0178997,"nm0578771,nm0784771",2014-05-23,45000000.0,46290741.0,127990741.0,2014,yes
97,tt1091191,Lone Survivor,2013.0,121.0,"Action,Biography,Drama",nm0000916,"nm0000916,nm2877226,nm0732961",2013-12-25,40000000.0,125095601.0,149804632.0,2013,yes
98,tt1959490,Noah,2014.0,138.0,"Action,Adventure,Drama",nm0004716,"nm0004716,nm0359504",2014-03-28,130000000.0,101200044.0,352831065.0,2014,yes
99,tt1092026,Paul,2011.0,104.0,"Adventure,Comedy,Sci-Fi",nm0609549,"nm0670408,nm0296545",2011-03-18,40000000.0,37412945.0,101162106.0,2011,yes
100,tt1116184,Jackass 3D,2010.0,95.0,"Action,Comedy,Documentary",nm0871860,"nm0871860,nm0424216,nm0546640,nm0828177,nm0690686,nm0242756,nm0010338,nm1035634,nm0569199,nm0257424,nm0005069,nm0519671,nm2045682,nm3052256,nm1328615,nm1331666,nm4122527,nm1029878,nm0292712,nm1017027,nm1079524,nm1029269,nm2207459,nm1030622,nm7340827",2010-10-15,20000000.0,117229692.0,171685793.0,2010,yes
101,tt1120985,Blue Valentine,2010.0,112.0,"Drama,Romance",nm0161834,"nm0161834,nm0193387,nm2337556",2010-12-29,1000000.0,9737892.0,16566240.0,2010,yes
102,tt1124035,The Ides of March,2011.0,101.0,"Drama,Thriller",nm0000123,"nm0000123,nm0381416,nm2802722",2011-10-07,23000000.0,40962534.0,77735925.0,2011,yes
103,tt1130884,Shutter Island,2010.0,138.0,"Mystery,Thriller",nm0000217,"nm0436164,nm1212331",2010-02-19,80000000.0,128012934.0,299461782.0,2010,yes
104,tt1135084,Takers,2010.0,107.0,"Action,Crime,Thriller",nm0525141,"nm0020901,nm0144133,nm0525141,nm3033474",2010-08-27,32000000.0,57744720.0,70587268.0,2010,yes
105,tt1142977,Frankenweenie,2012.0,87.0,"Animation,Comedy,Family",nm0000318,"nm0728125,nm0000318,nm0041864",2012-10-05,39000000.0,35287788.0,81150788.0,2012,yes
106,tt1152398,Beastly,2011.0,86.0,"Drama,Fantasy,Romance",nm1400426,"nm1400426,nm2860544",2011-03-04,17000000.0,27865571.0,38028230.0,2011,yes
107,tt1155076,The Karate Kid,2010.0,140.0,"Action,Drama,Family",nm0958969,"nm0614050,nm0436543",2010-06-11,40000000.0,176591618.0,351774938.0,2010,yes
108,tt1161864,The Rite,2011.0,114.0,"Drama,Horror,Mystery",nm0405632,"nm0678104,nm2883153",2011-01-28,37000000.0,33047633.0,97143987.0,2011,yes
109,tt1170358,The Hobbit: The Desolation of Smaug,2013.0,161.0,"Adventure,Fantasy",nm0001392,"nm0909638,nm0101991,nm0001392,nm0868219,nm0866058",2013-12-13,250000000.0,258366855.0,960366855.0,2013,yes
110,tt1171222,Baggage Claim,2013.0,96.0,Comedy,nm0847859,nm0847859,2013-09-27,8500000.0,21569509.0,22885836.0,2013,yes
111,tt1178665,A Walk in the Woods,2015.0,104.0,"Adventure,Biography,Comedy",nm0477129,"nm1578335,nm2250139,nm0117445",2015-09-02,8000000.0,29499394.0,37119358.0,2015,yes
